distance;e_elst;e_exch;e_ind;e_disp;e_tot
1.634731;-51.76990772;147.88369861;-43.20471101;-55.36057747;-2.45149759
1.834731;-34.57899297;81.04082992;-32.23076958;-41.42826554;-27.19719818
2.034731;-24.72663381;43.70239908;-24.25121065;-31.38382522;-36.65927059
2.234731;-19.14359858;23.21820076;-18.75851677;-24.06216599;-38.74608057
2.434731;-15.9344368;12.16781838;-14.97560953;-18.65958422;-37.40181218
2.634731;-14.00865809;6.29896959;-12.29925643;-14.62636031;-34.63530524
2.834731;-12.77237028;3.22527783;-10.33332984;-11.58311149;-31.46353378
3.034731;-11.91230408;1.6345171;-8.83326285;-9.26368031;-28.37473015
3.234731;-11.26350326;0.81938756;-7.65004723;-7.47865414;-25.57281708
3.434731;-10.73605447;0.40551364;-6.69128407;-6.09177429;-23.11359919
3.634731;-10.27851078;0.19752707;-5.89762566;-5.00412177;-20.98273113
3.834731;-9.86087861;0.09440336;-5.2295717;-4.14330052;-19.13934747
4.034731;-9.46645982;0.04417914;-4.66000742;-3.45592866;-17.53821675
4.234731;-9.08709865;0.02024601;-4.16968274;-2.90235208;-16.13888745
4.434731;-8.71975566;0.00909446;-3.74441905;-2.45289021;-14.90797045
4.634731;-8.36402035;0.00398501;-3.37337732;-2.08514911;-13.81856177
4.834731;-8.02027738;0.00165317;-3.04800788;-1.78209307;-12.84872516
5.034731;-7.68908241;0.00057799;-2.76140933;-1.53065363;-11.98056738
5.234731;-7.37065156;7.79e-05;-2.50793584;-1.32071873;-11.19922823
5.434731;-7.06496505;-0.00014653;-2.28295048;-1.14440422;-10.49246628
5.634731;-6.77183075;-0.00023057;-2.08258355;-0.99551329;-9.85015816
5.834731;-6.49096588;-0.00024139;-1.90360779;-0.86914009;-9.26395514
6.034731;-6.22211528;-0.00021645;-1.74330756;-0.76137296;-8.72701225
6.234731;-5.96494771;-0.00017795;-1.59937827;-0.66907108;-8.23357502
6.434731;-5.71915444;-0.00013847;-1.46984672;-0.58969538;-7.778835
6.634731;-5.48438239;-0.00010411;-1.35302578;-0.52117964;-7.35869191
6.834731;-5.2602568;-7.686e-05;-1.24744963;-0.46183176;-6.96961504
7.034731;-5.04637718;-5.644e-05;-1.15184453;-0.41025693;-6.60853508
7.234731;-4.84232556;-4.161e-05;-1.06511338;-0.36530155;-6.27278209
7.434731;-4.64765913;-3.096e-05;-0.98629106;-0.32600278;-5.95998393
7.634731;-4.46196604;-2.327e-05;-0.91453402;-0.29155554;-5.66807886
7.834731;-4.2848185;-1.761e-05;-0.84910056;-0.2612831;-5.39521976
8.034731;-4.11581937;-1.335e-05;-0.78934109;-0.23461424;-5.13978805
